num_distr,mouse.time,mouse.clicked_name,,,
5,1.4043261,['target'],,,
10,1.6882585,['target'],,mean RT (overall),1.974583867
5,1.5403176,['target'],,mean RT (size 5),1.969900753
5,2.1642463,['target'],,mean RT (size 10),1.973145046
10,3.1158324,['target'],,,
10,2.4657333,['target'],,,
5,2.2814423,['target'],,,
5,2.1753379,['target'],,,
5,1.9289114,['target'],,,
5,1.123766,['target'],,,
5,1.5300573,['target'],,,
5,1.4543302,['target'],,,
10,1.2353866,['target'],,,
5,1.9009316,['target'],,,
5,2.8329872,['target'],,,
5,1.703473,['target'],,,
5,1.3129858,['target'],,,
5,2.0311547,['target'],,,
5,1.8653173,['target'],,,
5,1.7692818,['target'],,,
10,1.7595546,['target'],,,
5,1.2773397,['target'],,,
10,1.8945455,['target'],,,
5,1.347053,['target'],,,
5,2.0114438,['target'],,,
5,1.5437232,['target'],,,
10,1.3427508,['target'],,,
10,2.6037073,['target'],,,
10,2.1383628,['target'],,,
10,1.3223213,['target'],,,
10,2.3178862,['target'],,,
10,1.4610615,['target'],,,
10,2.2963753,['target'],,,
10,3.6731202,['target'],,,
10,3.3895088,['target'],,,
5,1.7408993,['target'],,,
5,1.9788261,['target'],,,
5,1.9415439,['target'],,,
5,2.0606831,['target'],,,
5,1.9124208,['target'],,,
5,1.9729316,['target'],,,
10,2.0267525,['target'],,,
10,1.614253,['target'],,,
10,1.9419272,['target'],,,
10,2.0013217,['target'],,,
5,1.4627284,['target'],,,
10,2.4470925,['target'],,,
5,1.8128213,['target'],,,
10,2.2242921,['target'],,,
10,2.1265282,['target'],,,
10,2.587194,['target'],,,
10,2.2412463,['target'],,,
5,1.493285,['target'],,,
10,2.1510177,['target'],,,
10,2.7546463,['target'],,,
10,2.4399101,['target'],,,
10,2.2658987,['target'],,,
5,2.1134128,['target'],,,
10,1.7294141,['target'],,,
10,2.1444489,['target'],,,
10,2.9432572,['target'],,,
10,1.5688497,['target'],,,
5,1.5616865,['target'],,,
5,1.9988266,['target'],,,
5,1.4269977,['target'],,,
5,1.7972336,['target'],,,
10,1.7142108,['target'],,,
10,2.4591263,['target'],,,
5,1.9812219,['target'],,,
5,1.6449322,['target'],,,
10,1.3247352,['target'],,,
10,1.8573701,['target'],,,
5,1.3840358,['target'],,,
10,1.2617529,['target'],,,
5,1.6756064,['target'],,,
5,1.3772025,['target'],,,
10,1.7875335,['target'],,,
10,1.482117,['target'],,,
5,1.5420412,['target'],,,
10,1.5389411,['target'],,,
5,2.1149135,['target'],,,
10,1.951381,['target'],,,
10,2.4285428,['target'],,,
10,2.2579013,['target'],,,
10,1.9866925,['target'],,,
5,1.9439535,['target'],,,
5,1.4262381,['target'],,,
5,1.494269,['target'],,,
5,2.236344,['target'],,,
5,2.3925139,['target'],,,
5,1.6925473,['target'],,,
5,1.6024535,['target'],,,
5,1.4693268,['target'],,,
10,1.7948014,['target'],,,
5,1.9992442,['target'],,,
5,1.2072479,['target'],,,
10,0.1552738,['target'],,,
10,2.0370464,['target'],,,
10,1.2570303,['target'],,,
10,1.433103,['target'],,,
10,3.6758391,['target'],,,
5,1.6327815,[],,,
10,1.4645808,[],,,
5,2.1576787,[],,,
10,1.996451,[],,,
5,1.5969155,[],,,
10,2.8716605,[],,,
5,1.4308875,[],,,
5,1.3883063,[],,,
5,1.5781669,[],,,
10,1.6747131,[],,,
5,2.526978,[],,,
10,3.7503222,['target'],,,
5,1.895396,['target'],,,
5,1.4914688,['target'],,,
5,1.3497606,['target'],,,
5,1.5100404,['target'],,,
5,1.463637,['target'],,,
10,2.0250715,['target'],,,
5,2.1319722,['target'],,,
5,2.2566264,['target'],,,
10,1.4565216,['target'],,,
10,2.4540826,['target'],,,
5,2.7098234,['target'],,,
10,2.1464656,['target'],,,
10,1.7187893,['target'],,,
10,1.6063696,['target'],,,
10,3.2595667,['target'],,,
5,1.5784302,['target'],,,
5,1.7433284,['target'],,,
10,1.8284751,['target'],,,
10,2.3396969,['target'],,,
5,1.5515307,['target'],,,
5,2.2709614,['target'],,,
5,1.8970392,['target'],,,
5,2.0815317,['target'],,,
5,1.4506033,['target'],,,
5,2.2327169,['target'],,,
5,1.532349,['target'],,,
10,1.4700604,['target'],,,
10,1.5509245,['target'],,,
10,2.101992,['target'],,,
10,2.6744459,['target'],,,
10,5.7866153,['target'],,,
10,2.0593591,['target'],,,
10,1.6933883,['target'],,,
5,1.9700995,['target'],,,
10,2.4020047,['target'],,,
5,2.5636621,['target'],,,
5,1.6980827,['target'],,,
10,1.6130387,['target'],,,
10,1.5746416,['target'],,,
10,1.9544446,['target'],,,
5,1.4879834,['target'],,,
10,1.6296379,['target'],,,
10,1.6766926,['target'],,,
5,1.65303,['target'],,,
5,1.6804607,['target'],,,
5,2.1489876,['target'],,,
5,2.0536293,['target'],,,
5,2.4579602,['target'],,,
10,5.5592671,['target'],,,
5,1.7872905,['target'],,,
5,1.4948024,['target'],,,
10,1.5068424,['target'],,,
5,1.6112361,['target'],,,
10,3.0363969,['target'],,,
5,2.0021545,['target'],,,
10,1.5757358,['target'],,,
5,1.8144319,['target'],,,
5,1.8154747,['target'],,,
10,2.5059292,[],,,
5,1.7984815,[],,,
5,2.6153893,[],,,
10,2.310182,[],,,
10,2.5749784,[],,,
5,2.2071182,[],,,
5,1.9350312,[],,,
5,2.2399313,[],,,
10,2.0494989,['target'],,,
10,1.6207646,['target'],,,
5,2.4991106,['target'],,,
5,1.8117392,['target'],,,
5,2.211449,['target'],,,
5,1.5089451,['target'],,,
5,1.7127397,['target'],,,
5,2.3511666,['target'],,,
5,2.2355,['target'],,,
10,1.8001804,['target'],,,
5,1.8185439,['target'],,,
10,1.582256,['target'],,,
10,1.5964206,['target'],,,
10,2.6700486,['target'],,,
5,1.8473204,['target'],,,
10,2.2951278,['target'],,,
5,2.1735568,['target'],,,
10,1.85442,['target'],,,
10,1.5495107,['target'],,,
10,2.824397,['target'],,,
10,1.731315,['target'],,,
,,,,,
mean RT (overall),,,,,
mean RT  (size 5),,,,,
mean RT (size 10),,,,,
